seqNumber,docID,edinetCode,secCode,JCN,filerName,fundCode,ordinanceCode,formCode,docTypeCode,periodStart,periodEnd,submitDateTime,docDescription,issuerEdinetCode,subjectEdinetCode,subsidiaryEdinetCode,currentReportReason,parentDocID,opeDateTime,withdrawalStatus,docInfoEditStatus,disclosureStatus,xbrlFlag,pdfFlag,attachDocFlag,englishDocFlag,csvFlag,legalStatus
77,S100WBM5,E05973,,,クアルコム・インコーポレーテッド,,010,102000,180,,,2025-07-09 11:22,臨時報告書,,,,,,,0,0,0,0,1,1,0,0,1
78,S100WBWV,E00083,18330,7120001004931,株式会社奥村組,,010,170000,220,,,2025-07-09 11:27,自己株券買付状況報告書（法２４条の６第１項に基づくもの）,,,,,,,0,0,0,1,1,0,0,1,1
79,S100WC02,E03753,86010,4010001008855,株式会社大和証券グループ本社,,010,170000,220,,,2025-07-09 11:30,自己株券買付状況報告書（法２４条の６第１項に基づくもの）,,,,,,,0,0,0,1,1,0,0,1,1
80,S100WC1B,E00967,45440,1011101039628,Ｈ．Ｕ．グループホールディングス株式会社,,010,170000,220,,,2025-07-09 11:37,自己株券買付状況報告書（法２４条の６第１項に基づくもの）,,,,,,,0,0,0,1,1,0,0,1,1
81,S100WC0L,E05645,38250,3010001110827,株式会社リミックスポイント,,010,023000,030,,,2025-07-09 11:44,有価証券届出書（参照方式）,,,,,,,0,0,0,1,1,1,0,1,1
82,S100WBU9,E11943,,,Ｅｖｏ　Ｆｕｎｄ,,060,010002,350,,,2025-07-09 11:47,変更報告書,E02075,,,,S100UVL5,,0,0,0,1,1,1,0,1,1
83,S100WC1G,E05192,48490,1011101029018,エン・ジャパン株式会社,,010,170000,220,,,2025-07-09 11:48,自己株券買付状況報告書（法２４条の６第１項に基づくもの）,,,,,,,0,0,0,1,1,0,0,1,1
84,S100WC1E,E38627,,,磯川　武志,,060,090001,360,,,2025-07-09 11:52,訂正報告書（大量保有報告書・変更報告書）,E40803,,,,S100WAMS,,0,0,0,1,1,0,0,1,1
85,S100WC1I,E02134,71020,4180001022575,日本車輌製造株式会社,,010,053001,190,,,2025-07-09 11:58,訂正臨時報告書,,,,第19条第2項第9号の2,S100W9QD,,0,0,0,1,1,0,0,1,1
86,S100WBSJ,E01261,54230,8010001008819,東京製鐵株式会社,,010,170000,220,,,2025-07-09 12:01,自己株券買付状況報告書（法２４条の６第１項に基づくもの）,,,,,,,0,0,0,1,1,0,0,1,1
87,S100WC1J,E04505,95070,9470001001933,四国電力株式会社,,010,120003,100,,,2025-07-09 12:10,発行登録追補書類（株券､社債券等）,,,,,S100ROQ3,,0,0,0,1,1,1,0,1,1
88,S100WC0K,E03993,88940,8250001006187,株式会社ＲＥＶＯＬＵＴＩＯＮ,,010,053000,180,,,2025-07-09 12:10,臨時報告書,,,,第19条第2項第9号の4,,,0,0,0,1,1,0,0,1,1
