要素ID,項目名,コンテキストID,相対年度,連結・個別,期間・時点,ユニットID,単位,値
jppfs_cor:NetAssets,純資産,Prior2YearInstant_ValuationAndTranslationAdjustmentsMember,前々期末,連結,時点,JPY,円,40141000000
jppfs_cor:NetAssets,純資産,Prior2YearInstant_SubscriptionRightsToSharesMember,前々期末,連結,時点,JPY,円,27000000
jppfs_cor:NetAssets,純資産,Prior2YearInstant_NonControllingInterestsMember,前々期末,連結,時点,JPY,円,11187000000
jppfs_cor:NetAssets,純資産,Prior2YearInstant,前々期末,連結,時点,JPY,円,451711000000
jppfs_cor:IssuanceOfNewShares,新株の発行,Prior1YearDuration,前期,連結,期間,JPY,円,2000000
jppfs_cor:DividendsFromSurplus,剰余金の配当,Prior1YearDuration,前期,連結,期間,JPY,円,-11377000000
jppfs_cor:ProfitLossAttributableToOwnersOfParent,親会社株主に帰属する当期純利益又は親会社株主に帰属する当期純損失（△）,Prior1YearDuration,前期,連結,期間,JPY,円,20399000000
jppfs_cor:PurchaseOfTreasuryStock,自己株式の取得,Prior1YearDuration,前期,連結,期間,JPY,円,-0
jppfs_cor:NetChangesOfItemsOtherThanShareholdersEquity,株主資本以外の項目の当期変動額（純額）,Prior1YearDuration_ValuationDifferenceOnAvailableForSaleSecuritiesMember,前期,連結,期間,JPY,円,-356000000
jppfs_cor:NetChangesOfItemsOtherThanShareholdersEquity,株主資本以外の項目の当期変動額（純額）,Prior1YearDuration_ForeignCurrencyTranslationAdjustmentMember,前期,連結,期間,JPY,円,14718000000
jppfs_cor:NetChangesOfItemsOtherThanShareholdersEquity,株主資本以外の項目の当期変動額（純額）,Prior1YearDuration_RemeasurementsOfDefinedBenefitPlansMember,前期,連結,期間,JPY,円,410000000
jppfs_cor:NetChangesOfItemsOtherThanShareholdersEquity,株主資本以外の項目の当期変動額（純額）,Prior1YearDuration_ValuationAndTranslationAdjustmentsMember,前期,連結,期間,JPY,円,14772000000
jppfs_cor:NetChangesOfItemsOtherThanShareholdersEquity,株主資本以外の項目の当期変動額（純額）,Prior1YearDuration_SubscriptionRightsToSharesMember,前期,連結,期間,JPY,円,8000000
jppfs_cor:NetChangesOfItemsOtherThanShareholdersEquity,株主資本以外の項目の当期変動額（純額）,Prior1YearDuration_NonControllingInterestsMember,前期,連結,期間,JPY,円,710000000
jppfs_cor:NetChangesOfItemsOtherThanShareholdersEquity,株主資本以外の項目の当期変動額（純額）,Prior1YearDuration,前期,連結,期間,JPY,円,15491000000
jppfs_cor:TotalChangesOfItemsDuringThePeriod,当期変動額合計,Prior1YearDuration_ValuationDifferenceOnAvailableForSaleSecuritiesMember,前期,連結,期間,JPY,円,-356000000
jppfs_cor:TotalChangesOfItemsDuringThePeriod,当期変動額合計,Prior1YearDuration_ForeignCurrencyTranslationAdjustmentMember,前期,連結,期間,JPY,円,14718000000
jppfs_cor:TotalChangesOfItemsDuringThePeriod,当期変動額合計,Prior1YearDuration_RemeasurementsOfDefinedBenefitPlansMember,前期,連結,期間,JPY,円,410000000
jppfs_cor:TotalChangesOfItemsDuringThePeriod,当期変動額合計,Prior1YearDuration_ValuationAndTranslationAdjustmentsMember,前期,連結,期間,JPY,円,14772000000
jppfs_cor:TotalChangesOfItemsDuringThePeriod,当期変動額合計,Prior1YearDuration_SubscriptionRightsToSharesMember,前期,連結,期間,JPY,円,8000000
jppfs_cor:TotalChangesOfItemsDuringThePeriod,当期変動額合計,Prior1YearDuration_NonControllingInterestsMember,前期,連結,期間,JPY,円,710000000
jppfs_cor:TotalChangesOfItemsDuringThePeriod,当期変動額合計,Prior1YearDuration,前期,連結,期間,JPY,円,24515000000
jppfs_cor:NetAssets,純資産,Prior1YearInstant_ValuationDifferenceOnAvailableForSaleSecuritiesMember,前期末,連結,時点,JPY,円,763000000
jppfs_cor:NetAssets,純資産,Prior1YearInstant_ForeignCurrencyTranslationAdjustmentMember,前期末,連結,時点,JPY,円,54193000000
jppfs_cor:NetAssets,純資産,Prior1YearInstant_RemeasurementsOfDefinedBenefitPlansMember,前期末,連結,時点,JPY,円,-42000000
jppfs_cor:NetAssets,純資産,Prior1YearInstant_ValuationAndTranslationAdjustmentsMember,前期末,連結,時点,JPY,円,54914000000
jppfs_cor:NetAssets,純資産,Prior1YearInstant_SubscriptionRightsToSharesMember,前期末,連結,時点,JPY,円,35000000
jppfs_cor:NetAssets,純資産,Prior1YearInstant_NonControllingInterestsMember,前期末,連結,時点,JPY,円,11898000000
jppfs_cor:NetAssets,純資産,Prior1YearInstant,前期末,連結,時点,JPY,円,476226000000
jppfs_cor:NetAssets,純資産,Prior1YearInstant_CapitalStockMember,前期末,連結,時点,JPY,円,42383000000
jppfs_cor:NetAssets,純資産,Prior1YearInstant_CapitalSurplusMember,前期末,連結,時点,JPY,円,40701000000
jppfs_cor:NetAssets,純資産,Prior1YearInstant_RetainedEarningsMember,前期末,連結,時点,JPY,円,326301000000
jppfs_cor:NetAssets,純資産,Prior1YearInstant_TreasuryStockMember,前期末,連結,時点,JPY,円,-8000000
jppfs_cor:NetAssets,純資産,Prior1YearInstant_ShareholdersEquityMember,前期末,連結,時点,JPY,円,409377000000
jppfs_cor:NetAssets,純資産,Prior1YearInstant_ValuationDifferenceOnAvailableForSaleSecuritiesMember,前期末,連結,時点,JPY,円,763000000
jppfs_cor:NetAssets,純資産,Prior1YearInstant_ForeignCurrencyTranslationAdjustmentMember,前期末,連結,時点,JPY,円,54193000000
jppfs_cor:NetAssets,純資産,Prior1YearInstant_RemeasurementsOfDefinedBenefitPlansMember,前期末,連結,時点,JPY,円,-42000000
